02-13 00:06:10.286 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserRoleMapper' mapperInterface. Bean already defined with the same name!
02-13 00:06:10.288 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - No MyBatis mapper was found in '[com.anjiplus.template.gaea.business.modules.*.dao, com.anjiplus.template.gaea.business.modules.*.**.dao, com.anji.plus.gaea.*.module.*.dao]' package. Please check your configuration.
02-13 00:06:10.350 |-INFO  o.s.cloud.context.scope.GenericScope:295 - BeanFactory id=d0af37c1-387a-3075-bbd7-7c9b04d0ca81
02-13 00:06:10.642 |-INFO  o.s.b.w.e.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 9095 (http)
02-13 00:06:10.651 |-INFO  o.a.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-9095"]
02-13 00:06:10.652 |-INFO  o.a.catalina.core.StandardService:173 - Starting service [Tomcat]
02-13 00:06:10.652 |-INFO  o.a.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.39]
02-13 00:06:10.696 |-INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
02-13 00:06:10.697 |-INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 1145 ms
02-13 00:06:12.356 |-INFO  c.a.t.g.b.config.DatabaseInitializer:30 - DatabaseInitializer uses flyway init-sqls to initiate database
02-13 00:06:12.357 |-INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-1 - Starting...
02-13 00:06:13.190 |-INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-1 - Start completed.
02-13 00:06:13.226 |-INFO  com.zaxxer.hikari.HikariDataSource:350 - HikariPool-1 - Shutdown initiated...
02-13 00:06:13.231 |-INFO  com.zaxxer.hikari.HikariDataSource:352 - HikariPool-1 - Shutdown completed.
02-13 00:06:13.231 |-INFO  c.a.t.g.b.config.DatabaseInitializer:53 - DatabaseInitializer initialize completed
02-13 00:06:13.304 |-INFO  o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
02-13 00:06:13.333 |-INFO  o.s.b.a.w.s.WelcomePageHandlerMapping:54 - Adding welcome page: class path resource [static/index.html]
02-13 00:06:13.379 |-INFO  c.a.p.g.o.o.builders.NFSClient:48 - 初始化文件存储，激活服务器本地文件存储，路径/app/disk/upload/
02-13 00:06:13.483 |-INFO  o.f.c.i.license.VersionPrinter:49 - Flyway Community Edition 5.2.1 by Boxfuse
02-13 00:06:13.689 |-INFO  o.f.c.i.database.DatabaseFactory:49 - Database: jdbc:mysql://39.98.56.149:3306/aj_report (MySQL 5.7)
02-13 00:06:13.812 |-WARN  o.f.c.i.s.DefaultSqlScriptExecutor:53 - DB: Can't create database 'aj_report'; database exists (SQL State: HY000 - Error Code: 1007)
02-13 00:06:14.200 |-INFO  o.f.core.internal.command.DbValidate:49 - Successfully validated 25 migrations (execution time 00:00.251s)
02-13 00:06:14.413 |-INFO  o.f.core.internal.command.DbMigrate:49 - Current version of schema `aj_report`: 1.0.24
02-13 00:06:14.437 |-INFO  o.f.core.internal.command.DbMigrate:49 - Schema `aj_report` is up to date. No migration necessary.
02-13 00:06:14.598 |-INFO  o.s.b.a.e.web.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path ''
02-13 00:06:14.635 |-INFO  o.a.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-9095"]
02-13 00:06:14.653 |-INFO  o.s.b.w.e.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 9095 (http) with context path ''
02-13 00:06:14.672 |-INFO  c.a.t.g.business.ReportApplication:61 - Started ReportApplication in 5.96 seconds (JVM running for 6.341)
02-13 00:06:37.746 |-INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
02-13 00:06:37.746 |-INFO  o.s.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
02-13 00:06:37.751 |-INFO  o.s.web.servlet.DispatcherServlet:547 - Completed initialization in 5 ms
02-13 00:06:38.142 |-INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-2 - Starting...
02-13 00:06:38.399 |-INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-2 - Start completed.
